label, Latitude, Longitude
21, 40.762583, -73.972858
21, 40.76241, -73.97289499999998
21, 40.762648, -73.972655
21, 40.76269, -73.972955
21, 40.76252, -73.97288
21, 40.762433, -73.97313
21, 40.762658, -73.97254499999998
21, 40.762398, -73.972595
21, 40.762915, -73.97301799999998
21, 40.762275, -73.97240499999998
21, 40.762347, -73.97251699999998
21, 40.762128, -73.97260799999998
21, 40.762074, -73.97231499999998
21, 40.762432, -73.97227499999998
21, 40.762451, -73.972182
21, 40.762199, -73.972263
21, 40.762233, -73.972312
21, 40.762105, -73.972443
21, 40.762311, -73.97217499999998
21, 40.762062, -73.972412
21, 40.762103, -73.97282199999998
21, 40.761938, -73.97265199999998
21, 40.761996, -73.972848
21, 40.761953, -73.972237
21, 40.761913, -73.97217
21, 40.761933, -73.97207
21, 40.76191, -73.972297
21, 40.762523, -73.97193699999998
21, 40.762677, -73.971995
21, 40.762125, -73.97199899999998
21, 40.762074, -73.971993
21, 40.761822, -73.972903
21, 40.762129, -73.973033
21, 40.761745, -73.972947
21, 40.761939, -73.97202699999998
21, 40.76172, -73.97221899999998
21, 40.761707, -73.97222999999998
21, 40.761687, -73.972013
21, 40.761893, -73.971905
21, 40.76211, -73.971874
21, 40.762032, -73.97185
21, 40.761907, -73.971833
21, 40.762479, -73.97183099999998
21, 40.762741, -73.971997
21, 40.762639, -73.971731
21, 40.762856, -73.971789
21, 40.76297, -73.972009
21, 40.762102, -73.971777
21, 40.761545, -73.97293
21, 40.761608, -73.972751
21, 40.761602, -73.972835
21, 40.76154, -73.972851
21, 40.7622, -73.97313
21, 40.761925, -73.973207
21, 40.761524, -73.973111
21, 40.761447, -73.97225799999998
21, 40.76147, -73.972373
21, 40.761599, -73.97244899999998
21, 40.761661, -73.971794
21, 40.762287, -73.971732
21, 40.761904, -73.97158299999998
21, 40.762658, -73.971632
21, 40.762483, -73.971537
21, 40.762907, -73.971782
21, 40.76268, -73.971503
21, 40.763048, -73.97159
21, 40.763137, -73.971688
21, 40.763117, -73.97166699999998
21, 40.763001, -73.97229299999998
21, 40.763151, -73.971922
21, 40.763237, -73.972085
21, 40.761361, -73.972953
21, 40.761263, -73.97291199999998
21, 40.761306, -73.97290599999998
21, 40.761287, -73.972988
21, 40.762233, -73.973392
21, 40.761935, -73.971323
21, 40.761723, -73.971483
21, 40.762767, -73.971393
21, 40.762535, -73.971422
21, 40.762558, -73.971314
21, 40.762632, -73.971298
21, 40.763186, -73.971779
21, 40.762953, -73.97147699999998
21, 40.763232, -73.971653
21, 40.763312, -73.971683
21, 40.763183, -73.971383
21, 40.7632, -73.97161699999998
21, 40.763311, -73.97153299999998
21, 40.763217, -73.97168499999998
21, 40.763332, -73.97156699999998
